year,status,download_url,message,request_url
2008,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=2008&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
2009,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=2009&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
2010,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=2010&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
2011,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=2011&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
2012,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=2012&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
2013,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=2013&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
2014,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=2014&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
2015,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=2015&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
2016,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=2016&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
2017,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=2017&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
2018,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=2018&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
2019,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=2019&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
2020,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=2020&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
2021,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=2021&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
2022,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=2022&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
2023,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=2023&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
2024,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=2024&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
